Movie_Id,Title,Date_Published,Date_of_published,Duration,Country,Languages,Production_Company,Genre,Director,Worldwide_Gross_Income,Average_Rating
1,Transcendent Man,07-05-1964,05-07-1964,233,South Korea,English,Rhyloo,Action,Michal Giacubbo,Won,1.5
2,Manhattan Baby,20-03-1903,20-03-1903,84,Poland,Chinese,Brainlounge,Horror,Bess De Bischop,Zloty,7.8
3,Broadway Rhythm,20-10-2008,20-10-2008,126,Indonesia,English,Buzzdog,Action,Vanna Vearnals,Rupiah,3.4
4,Ernest Goes to Camp,14-09-1990,14-09-1990,25,Sierra Leone,German,Flashpoint,Comedy,Conney Starten,Leone,4.6
5,The Concert for Bangladesh,06-04-1937,04-06-1937,30,Netherlands,English,Kare,Romance,Carmela Furlong,Euro,1.2
6,Tomorrow at Dawn (Demain d??s l'aube),21-09-2014,21-09-2014,67,Indonesia,English,Jamia,Romance,Silvie Search,Rupiah,1.7
7,Suspect X (Y??gisha X no kenshin),31-01-1909,31-01-1909,288,New Zealand,English,Myworks,Comedy,Phyllida Breffit,Dollar,9.8
8,Munger Road,10-01-1909,01-10-1909,84,China,French,DabZ,Comedy,Leeland Arnal,Yuan Renminbi,5
9,We're No Angels,28-05-1922,28-05-1922,230,China,German,Photobug,Action,Gardiner Alexandre,Yuan Renminbi,9.6
10,Catch That Kid,01-08-2002,08-01-2002,96,Mexico,Spanish,Topicstorm,Comedy,Eddi Fritchly,Peso,6.5
11,Camille Claudel 1915,07-12-1968,12-07-1968,183,Albania,French,Thoughtbridge,Action,Thaxter Attack,Lek,7.9
12,It Came from Beneath the Sea,18-03-1953,18-03-1953,43,Russia,Spanish,Thoughtstorm,Horror,Livvy Mundow,Ruble,8.8
13,Boys Don't Cry (Chlopaki nie placza),15-04-1931,15-04-1931,29,Sweden,German,Zoomzone,Drama,Sherrie Schole,Krona,2.2
14,"Life and Times of Judge Roy Bean, The",27-06-2017,27-06-2017,22,Uzbekistan,Chinese,Meevee,Action,Serena Clifforth,Som,1.9
15,Metrobranding,24-01-1944,24-01-1944,202,Brazil,English,Dynabox,Romance,Kerrie Lumm,Real,9.7
16,Jim Carrey: Unnatural Act,12-02-1950,02-12-1950,175,Russia,French,Browseblab,Comedy,Fredra Firbank,Ruble,5.4
17,Dillinger and Capone,28-07-1926,28-07-1926,118,China,Spanish,Realbridge,Drama,Burty Pauncefort,Yuan Renminbi,4.5
18,Trigun: Badlands Rumble,21-01-2007,21-01-2007,280,Moldova,German,Gigazoom,Comedy,Daveta Nutter,Leu,7.8
19,Olympia Part One: Festival of the Nations (Olympia 1. Teil - Fest der V??lker),10-09-1951,09-10-1951,29,France,Spanish,Quimba,Romance,Alicea Hicken,Euro,1.9
20,Seven Alone,07-05-1988,05-07-1988,70,Indonesia,English,Twitterbeat,Action,Petr Noah,Rupiah,8.9
21,"Trip to Bountiful, The",27-02-1958,27-02-1958,18,Indonesia,English,Gigashots,Horror,Halli Elsmor,Rupiah,7.6
22,My Old Lady,03-09-1992,09-03-1992,206,Finland,Chinese,Tagopia,Drama,Carlie Poulglais,Euro,3
23,Impudent Girl (L'effront??e),23-06-1948,23-06-1948,95,Serbia,Chinese,Vinder,Romance,Alexander Langfield,Dinar,9.1
24,Dynamite,30-11-1910,30-11-1910,206,Philippines,Spanish,Yotz,Horror,Standford Frentz,Peso,5.7
25,"Thing: Terror Takes Shape, The",28-09-2014,28-09-2014,282,Chile,Chinese,Jetpulse,Action,Chev Howells,Peso,1.7
26,Kung Fu Dunk,26-05-1969,26-05-1969,44,Saudi Arabia,Chinese,Yacero,Horror,Mil Chatan,Rial,4.9
27,Jane Eyre,06-04-1959,04-06-1959,4,Sweden,Spanish,Youfeed,Comedy,Karlan Shipperbottom,Krona,9.8
28,Darkness,20-07-1924,20-07-1924,138,Indonesia,English,Dynazzy,Horror,Morris Bonifazio,Rupiah,8.1
29,"Score, The",07-11-1952,11-07-1952,281,Japan,Chinese,Tazz,Action,Angele Pinckard,Yen,2.2
